time,accel_x,accel_y,accel_z,gyr_x,gyr_y,gyr_z
58,0.12,0.0,-1.09,30.15,-120.3,47.12
59,-0.05,-3.52,0.22,-1014.95,-406.19,-263.37
60,0.44,-8.0,1.07,-1625.85,-36.5,-114.99
61,0.21,-5.55,0.79,-1053.96,-268.86,-213.44
62,0.32,-6.79,0.84,-1193.3,307.13,-565.67
63,-0.22,-8.0,0.91,-1056.21,-608.76,-968.69
64,0.48,-5.23,0.86,-1048.4,-372.25,298.03
65,0.29,-1.64,1.11,-836.06,33.69,220.64
66,-0.61,-3.15,0.84,-1070.07,-317.63,-203.06
67,0.14,-7.8,0.57,-1346.74,-524.29,-8.12
68,0.61,-4.42,0.81,-1085.02,-111.27,492.19
69,0.13,-4.5,1.22,-1187.26,393.43,168.76
70,0.09,-4.75,0.84,-1056.03,-361.15,292.42
71,-0.16,-4.45,1.36,-1026.73,-311.34,300.23
72,0.54,-0.55,1.27,-194.58,-160.77,498.05
73,0.62,2.05,1.48,416.63,-100.28,516.91
74,0.17,-4.19,0.16,290.04,186.04,-1194.21
75,-0.63,-7.07,0.42,104.25,-48.65,-1535.34
76,-0.17,-1.82,0.53,-471.44,-177.55,418.15
77,0.54,-4.72,0.39,149.6,-44.31,966.49
78,0.53,-5.58,0.27,471.92,323.06,1039.86
79,0.56,-7.94,0.38,826.97,-540.04,1220.83
80,0.4,-8.0,0.56,1746.95,-102.05,173.28
81,0.55,-8.0,0.79,466.0,8.67,1152.47
82,0.36,-3.03,0.03,625.24,-43.88,489.2
83,0.51,-8.0,0.46,1250.06,-223.51,771.0
84,0.49,-8.0,0.81,275.88,814.39,1272.16
85,0.5,-6.64,0.49,559.39,2.5,914.61
86,0.44,-2.79,-0.16,539.0,362.49,615.97
87,0.54,-5.05,0.14,652.65,191.59,864.56
88,0.39,-5.04,0.21,496.4,483.52,878.05
89,0.55,-3.84,0.42,495.42,-259.83,856.38
90,0.29,-2.16,-0.27,733.4,55.3,93.51
91,0.34,-0.76,-0.71,-255.98,-1475.89,311.95
92,0.09,-1.57,0.21,-333.44,-19.04,-446.59
93,-0.18,-1.75,0.19,-151.98,-190.19,-540.53
94,-0.43,-1.08,-0.03,-19.1,-124.94,-199.71
95,-0.22,-0.87,-0.07,137.7,-33.2,134.46
96,0.01,-1.63,-0.18,350.52,13.06,-45.29
97,-0.21,-1.85,-0.2,221.13,-53.71,-207.21
98,-0.09,-0.92,-0.27,-166.14,-60.18,129.88
99,0.21,-1.68,0.03,-243.47,27.34,310.36
100,-0.29,-1.57,-0.41,-372.38,58.72,491.82
101,0.3,-0.99,-0.39,-502.93,458.5,517.94
102,0.17,-1.42,1.25,-17.15,27.4,501.1
103,0.95,0.44,-1.02,-85.33,60.73,5.49
104,0.75,0.8,-0.4,-126.4,0.98,-116.09
105,0.04,0.86,-0.14,-137.88,-56.27,-158.14
106,0.27,0.69,0.22,7.2,362.79,-45.72
107,-0.48,0.54,-1.11,167.6,-266.85,-67.99
108,0.26,0.37,0.41,38.64,37.05,-114.81
109,-0.89,0.34,0.58,55.91,-79.77,-126.65
110,-0.83,0.63,-0.34,30.82,-107.18,-75.74
111,-0.89,0.66,-0.86,23.32,-92.59,-55.18
112,-0.7,0.64,-0.44,69.52,1.89,118.9
113,-0.84,0.73,-0.4,109.92,133.36,6.71
114,-0.31,1.08,-0.38,-49.38,-26.43,-19.9
115,-1.55,0.25,-0.09,59.39,-73.91,-15.81
116,-0.98,0.22,-0.48,259.58,-302.06,167.54
117,-0.14,1.0,-0.42,170.35,-186.16,81.18
118,-0.33,0.5,-0.39,-112.73,25.27,-86.36
119,-1.03,0.31,-0.49,-132.75,61.58,-124.15
120,-1.08,0.51,-0.14,17.7,70.86,15.99
121,-1.27,0.7,-0.48,-13.24,78.12,1.4
122,-0.44,0.53,-0.37,-20.32,153.69,13.55
123,-0.61,0.48,-0.65,-133.3,210.57,-151.79
124,-0.54,0.47,-0.59,44.56,79.59,-35.83
125,-0.84,0.36,-0.71,-37.54,-132.26,-5.25
126,-0.89,0.38,-0.36,52.98,-112.73,12.82
127,-0.97,0.26,-0.36,-45.29,-3.23,-33.26
128,-0.75,0.57,-0.06,81.85,-307.56,86.55
129,-0.85,0.43,-0.08,29.72,-60.0,27.22
130,-0.77,0.57,-0.15,35.4,-16.85,-15.99
131,-1.15,0.55,0.18,-35.89,-130.68,-99.49
132,-0.9,0.43,-0.13,28.26,64.7,25.76
133,-0.87,0.41,0.31,2.93,-171.51,45.65
134,-1.07,0.53,-0.19,-77.39,7.02,-5.19
135,-0.8,0.4,0.31,-22.64,61.77,23.74
136,-0.91,0.58,-0.16,-2.62,171.88,-0.73
137,-0.87,-0.05,-0.23,-100.59,274.41,-41.99
138,-0.07,0.75,-0.98,-133.24,519.1,148.07
139,0.01,0.85,-0.47,-94.6,182.86,-63.72
140,-0.14,0.55,-0.73,57.31,20.51,-48.16
141,-0.22,0.49,-0.83,73.67,-37.41,-37.66
142,-0.04,0.65,-0.71,33.63,-21.79,4.21
143,-0.05,0.62,-0.78,56.64,-40.59,-25.7
144,-0.2,0.39,-0.79,81.79,-110.78,-34.18
145,-0.47,0.26,-0.8,89.97,-100.46,-9.22
146,-1.06,0.53,-0.77,64.27,-164.98,-62.56
147,-0.86,0.3,-0.68,-64.7,-255.92,-28.69
148,-0.84,0.25,-0.35,-18.19,4.39,32.65
149,-0.86,0.25,-0.28,13.67,-83.62,-35.89
150,-1.09,0.14,-0.1,-66.28,28.99,-17.58
151,-1.1,0.2,0.11,68.48,-191.04,62.74
152,-0.82,0.34,-0.07,5.62,-49.26,46.69
153,-0.91,0.41,0.25,5.13,-60.97,5.07
154,-0.94,0.39,0.23,0.79,-31.07,-14.04
155,-0.9,0.38,0.23,4.94,-18.19,-16.17
156,-0.85,0.35,0.13,7.69,11.72,0.43
157,-0.92,0.36,0.19,-2.44,13.55,-0.43
158,-0.93,0.37,0.18,1.04,5.55,3.6
159,-0.92,0.36,0.16,-3.97,11.78,3.91
160,-0.92,0.36,0.16,-1.65,-3.23,0.24
161,-0.89,0.36,0.15,-2.26,0.55,1.65
162,-0.9,0.36,0.13,-0.73,-4.88,3.3
163,-0.9,0.36,0.12,-3.66,-0.12,1.1
164,-0.91,0.37,0.15,-5.86,-10.8,1.65
165,-0.92,0.36,0.18,-8.12,-7.51,0.37
166,-0.9,0.35,0.22,-4.64,-23.74,0.85
167,-0.91,0.37,0.25,-4.52,-42.11,2.62
168,-0.88,0.34,0.26,-2.99,-31.74,3.97
169,-0.86,0.35,0.34,1.77,-8.0,2.32
170,-0.85,0.36,0.29,0.92,-0.43,1.77
171,-0.88,0.37,0.34,1.16,3.54,1.16
172,-0.85,0.34,0.33,0.61,3.48,1.4
173,-0.86,0.35,0.3,1.28,0.92,0.18
174,-0.88,0.37,0.33,-1.59,0.98,0.92
175,-0.89,0.34,0.36,-0.24,-7.02,1.65
176,-0.8,0.36,0.25,3.17,2.38,1.77
177,-0.92,0.35,0.3,-7.39,-0.06,-5.31
178,-0.91,0.38,0.3,-1.28,-2.81,3.91
179,-0.86,0.35,0.33,-2.32,-6.35,5.0
180,-0.85,0.33,0.35,0.98,-1.59,1.1
181,-0.87,0.36,0.3,1.16,-0.79,-1.4
182,-0.9,0.36,0.31,-4.64,-8.0,2.01
183,-0.91,0.37,0.36,-9.64,-45.65,0.85
184,-0.78,0.29,0.4,-7.81,-159.55,-22.64
185,-0.5,0.35,0.75,-18.86,-100.89,-5.74
186,-0.61,0.31,0.66,2.62,22.52,2.26
187,-0.68,0.33,0.65,-2.44,41.26,2.44
188,-0.71,0.32,0.65,-0.85,11.78,4.27
189,-0.69,0.3,0.63,1.65,5.07,1.59
190,-0.72,0.32,0.61,0.98,4.52,0.0
191,-0.73,0.32,0.6,-0.24,0.06,0.92
192,-0.72,0.32,0.61,0.79,3.72,1.83
193,-0.72,0.32,0.61,0.49,-1.4,1.71
194,-0.71,0.32,0.61,0.37,-1.65,1.16
195,-0.72,0.32,0.61,0.12,-0.92,1.71
196,-0.71,0.32,0.63,-0.31,-4.15,2.56
197,-0.71,0.32,0.62,0.37,-3.72,1.16
198,-0.71,0.32,0.62,1.16,-2.75,0.92
199,-0.71,0.32,0.61,0.31,-2.81,1.4
200,-0.71,0.32,0.63,2.01,-0.37,1.22
201,-0.71,0.32,0.62,-0.92,-0.98,1.28
202,-0.7,0.32,0.61,0.79,-1.28,2.14
203,-0.71,0.32,0.62,-0.12,-1.04,1.4
204,-0.7,0.32,0.62,0.61,-0.79,2.01
205,-0.7,0.32,0.63,0.06,-1.16,1.71
206,-0.7,0.32,0.61,-0.06,-0.49,1.34
207,-0.7,0.32,0.63,-0.24,0.92,1.16
208,-0.7,0.32,0.62,0.55,0.55,0.67
209,-0.69,0.3,0.6,-2.08,4.33,1.46
210,-0.75,0.32,0.67,-3.36,13.37,-2.14
211,-0.74,0.32,0.74,9.46,-4.82,-0.37
212,-0.6,0.31,0.35,8.61,-86.61,2.69
213,-0.81,0.04,1.24,42.3,-195.8,23.86
214,-0.31,0.38,0.82,50.35,-80.32,-18.31
215,-0.3,0.38,0.61,3.91,-8.91,2.87
216,-0.22,0.4,1.06,7.26,-16.3,15.01
217,-0.28,0.49,0.87,60.12,-24.41,-3.91
